Date,Close,Percent Change,50 MA,200 MA,EPS,EBIDTA,P/E,EV/EBITDA,1 YR,5 YR,30 YR,Recommendation,News,News Score
2023-03-29,160.77000427246094,0.019790742129842442,150.32719970703124,148.2655996322632,1.89,38932000000.0,85.06349432405341,67.49912260033045,0.1,1.08,2.1,Buy,POSITIVE,0.748120903968811
2023-03-28,157.64999389648438,-0.003980318976947728,149.83059967041015,148.20529964447022,1.89,38932000000.0,83.41269518332507,66.22951214568019,0.11,1.09,2.05,Sell,NEGATIVE,0.9901580214500428
2023-03-27,158.27999877929688,-0.012293299349161457,149.3727996826172,148.14774967193603,1.89,38932000000.0,83.74603110015708,66.485876929547,0.1,1.05,2.02,Sell,POSITIVE,0.9964886903762816
2023-03-24,160.25,0.008305589788276002,148.87539978027343,148.0832497024536,1.89,38932000000.0,84.7883597883598,67.28751982302477,0.12,1.13,2.05,Buy,POSITIVE,0.9961950778961182
2023-03-23,158.92999267578125,0.006969466083539766,148.34019989013672,148.03804973602294,1.89,38932000000.0,84.08994321469908,66.75037574429122,0.11,1.16,2.01,Buy,POSITIVE,0.9985553622245787
2023-03-22,157.8300018310547,-0.009103446505241086,147.77619995117186,147.98694980621337,1.89,38932000000.0,83.50793747674851,66.3027618878638,0.11,1.17,2.09,Sell,NEGATIVE,0.9995678067207336
2023-03-21,159.27999877929688,0.011944122971497162,147.22259979248048,147.94199977874757,1.89,38932000000.0,84.27513162925761,66.89280200403586,0.1,1.16,2.12,Buy,POSITIVE,0.748120903968811
2023-03-20,157.39999389648438,0.015483831590221708,146.62939971923828,147.89379978179932,1.89,38932000000.0,83.28042005104994,66.12778087705797,0.12,1.23,2.13,Buy,POSITIVE,0.748120903968811
2023-03-17,155.0,-0.00545400109224925,145.98179977416993,147.82569980621338,1.89,38932000000.0,82.01058201058201,65.15116318195828,0.13,1.22,2.08,Sell,NEGATIVE,0.988436758518219
2023-03-16,155.85000610351562,0.018694035607962345,145.40899978637697,147.7532998275757,1.89,38932000000.0,82.46032068969082,65.49705197894737,0.14,1.19,2.09,Buy,NEGATIVE,0.6340497732162476
2023-03-15,152.99000549316406,0.0026214638237991306,144.79339965820313,147.67584980010986,1.89,38932000000.0,80.94709285352596,64.3332460175419,0.14,1.2,2.05,Buy,POSITIVE,0.996917963027954
2023-03-14,152.58999633789062,0.01408915464869298,144.32579956054687,147.6264497756958,1.89,38932000000.0,80.73544779782573,64.17047226223603,0.12,1.16,1.95,Buy,NEGATIVE,0.9954237341880798
2023-03-13,150.47000122070312,0.013266001486216261,143.7947996520996,147.5514497756958,1.89,38932000000.0,79.61375725963129,63.3077930912585,0.15,1.18,1.96,Buy,POSITIVE,0.748120903968811
2023-03-10,148.5,-0.0138787196275717,143.38599960327147,147.48584980010986,1.89,38932000000.0,78.57142857142857,62.50615019778075,0.15,1.18,1.93,Sell,POSITIVE,0.9810457229614258
2023-03-09,150.58999633789062,-0.014914625839747453,143.05319961547852,147.44744983673095,1.89,38932000000.0,79.67724673962468,63.356622113258325,0.15,1.2,1.98,Sell,POSITIVE,0.8912172317504883
2023-03-08,152.8699951171875,0.00837723590066819,142.68599960327148,147.44069988250732,1.89,38932000000.0,80.88359530009922,64.2844107863582,0.15,1.15,1.96,Buy,POSITIVE,0.748120903968811
2023-03-07,151.60000610351562,-0.014496494188358522,142.33759963989257,147.40404987335205,1.89,38932000000.0,80.21164344101356,63.767620412369745,0.17,1.19,2.0,Sell,POSITIVE,0.8926444053649902
2023-03-06,153.8300018310547,0.01853938339660255,141.9515995788574,147.38159984588623,1.89,38932000000.0,81.3915353603464,64.6750615899084,0.14,1.1,1.96,Buy,POSITIVE,0.8981420397758484
2023-03-03,151.02999877929688,0.035090089703815774,141.5223994445801,147.32524982452392,1.89,38932000000.0,79.91005226417825,63.53567013950283,0.14,1.04,1.87,Buy,POSITIVE,0.9993684887886048
2023-03-02,145.91000366210938,0.0041291453691869595,141.19199935913085,147.30259983062743,1.89,38932000000.0,77.20106013868221,61.452215745058744,0.16,1.13,1.89,Buy,POSITIVE,0.748120903968811
2023-03-01,145.30999755859375,-0.014246021649447993,141.00379928588868,147.34559978485106,1.89,38932000000.0,76.88359659184854,61.20805821669189,0.14,1.08,1.83,Sell,POSITIVE,0.748120903968811
2023-02-28,147.41000366210938,-0.003447772533457294,140.96179946899414,147.3793497848511,1.89,38932000000.0,77.994710932333,62.06260335679202,0.17,1.23,1.92,Sell,POSITIVE,0.9234446287155152
2023-02-27,147.9199981689453,0.008247504598905886,140.922999420166,147.428699760437,1.89,38932000000.0,78.26454929573826,62.27013290947515,0.17,1.24,1.95,Buy,POSITIVE,0.748120903968811
2023-02-24,146.7100067138672,-0.018005269695533066,140.8543995666504,147.4729497909546,1.89,38932000000.0,77.62434217664931,61.777757046486606,0.18,1.26,2.01,Sell,POSITIVE,0.985895574092865
2023-02-23,149.39999389648438,0.0032905125399556034,140.76339950561524,147.56949977874757,1.89,38932000000.0,79.0476158182457,62.87238028114716,0.17,1.27,2.02,Buy,POSITIVE,0.9967407584190368
2023-02-22,148.91000366210938,0.0028960664530148783,140.62839950561522,147.61989978790282,1.89,38932000000.0,78.7883617259838,62.6729909685253,0.18,1.24,2.0,Buy,POSITIVE,0.748120903968811
2023-02-21,148.47999572753906,-0.026679824600448265,140.46899948120117,147.66514980316163,1.89,38932000000.0,78.56084430028523,62.49800995771949,0.18,1.22,1.97,Sell,POSITIVE,0.748120903968811
2023-02-17,152.5500030517578,-0.007546702305912589,140.35759963989258,147.71099979400634,1.89,38932000000.0,80.71428732897239,64.15419799129738,0.18,1.22,1.91,Sell,NEGATIVE,0.624040961265564
2023-02-16,153.7100067138672,-0.010429376798369527,140.23919967651366,147.7664497756958,1.89,38932000000.0,81.32804588035302,64.62623256790857,0.2,1.33,1.98,Sell,NEGATIVE,0.9971768856048584
2023-02-15,155.3300018310547,0.013903426404976438,140.1211994934082,147.78074977874755,1.89,38932000000.0,82.1851861539972,65.28544920164167,0.21,1.33,2.02,Buy,NEGATIVE,0.9701074957847596
2023-02-14,153.1999969482422,-0.004224953717818392,139.98079940795898,147.78809978485108,1.89,38932000000.0,81.05819944351438,64.41869680604158,0.24,1.34,1.96,Sell,NEGATIVE,0.9987221360206604
2023-02-13,153.85000610351562,0.01880677902118011,139.87739944458008,147.8364998245239,1.89,38932000000.0,81.40211963148975,64.68320182996966,0.2,1.16,1.83,Buy,POSITIVE,0.9992607235908508
2023-02-10,151.00999450683594,0.0009279472007650558,139.62379928588868,147.876199760437,1.89,38932000000.0,79.89946799303489,63.52752989944157,0.21,1.18,1.87,Buy,POSITIVE,0.748120903968811
2023-02-09,150.8699951171875,-0.006911552556695955,139.487999420166,147.95324977874756,1.89,38932000000.0,79.82539424189815,63.47056063738049,0.24,1.14,1.78,Sell,NEGATIVE,0.9953635931015016
2023-02-08,151.9199981689453,-0.017652737376545935,139.43279953002929,148.03504978179933,1.89,38932000000.0,80.38095141214038,63.89783320743056,0.25,1.15,1.77,Sell,POSITIVE,0.748120903968811
2023-02-07,154.64999389648438,0.019244699473851767,139.41579971313476,148.11244976043702,1.89,38932000000.0,81.82539359602349,65.00873692221363,0.27,1.21,1.76,Buy,POSITIVE,0.748120903968811
2023-02-06,151.72999572753906,-0.01792883024246561,139.3263996887207,148.16454982757568,1.89,38932000000.0,80.28042101986195,63.82051644980826,0.26,1.13,1.69,Sell,NEGATIVE,0.5667083263397217
2023-02-03,154.5,0.024399897209064214,139.25199966430665,148.23234981536865,1.89,38932000000.0,81.74603174603175,64.94770064471386,0.28,1.21,1.75,Buy,POSITIVE,0.907100796699524
2023-02-02,150.82000732421875,0.03706260688917107,139.1877995300293,148.31184978485106,1.89,38932000000.0,79.79894567418982,63.45021935100314,0.31,1.26,1.8,Buy,NEGATIVE,0.9915629625320436
2023-02-01,145.42999267578125,0.007900751560697472,139.185799407959,148.39604976654053,1.89,38932000000.0,76.94708607184194,61.25688723869171,0.29,1.27,1.87,Buy,POSITIVE,0.9992458820343018
2023-01-31,144.2899932861328,0.009020932070858745,139.25299942016602,148.4976498031616,1.89,38932000000.0,76.34391179160467,60.792992902141776,0.28,1.26,1.87,Buy,NEGATIVE,0.9996403455734252
2023-01-30,143.0,-0.020078070464177533,139.36799942016603,148.62664981842042,1.89,38932000000.0,75.66137566137567,60.26806228809206,0.27,1.25,1.88,Sell,POSITIVE,0.748120903968811
2023-01-27,145.92999267578125,0.013684258613779976,139.47359939575196,148.77234981536864,1.89,38932000000.0,77.2116363363922,61.46034977593614,0.27,1.21,1.81,Buy,POSITIVE,0.9959484934806824
2023-01-26,143.9600067138672,0.014803370185255682,139.54899948120118,148.90184986114502,1.89,38932000000.0,76.16931572162285,60.658713091642255,0.26,1.23,1.82,Buy,POSITIVE,0.9929218888282776
2023-01-25,141.86000061035156,-0.00470075194473818,139.60719924926758,149.05734981536864,1.89,38932000000.0,75.0582013811384,59.80416795154213,0.29,1.26,1.86,Sell,NEGATIVE,0.9992936849594116
2023-01-24,142.52999877929688,0.010063058343160014,139.4673991394043,149.24024982452391,1.89,38932000000.0,75.41269776682375,60.07680700634758,0.26,1.19,1.87,Buy,POSITIVE,0.9967407584190368
2023-01-23,141.11000061035156,0.02350043960188808,139.40679916381836,149.3991498184204,1.89,38932000000.0,74.661375984313,59.49897414567548,0.27,1.18,1.82,Buy,NEGATIVE,0.9701011180877686
2023-01-20,137.8699951171875,0.01922074933545259,139.36299911499023,149.56664981842042,1.89,38932000000.0,72.94708736359128,58.180534669025405,0.27,1.17,1.85,Buy,POSITIVE,0.748120903968811
2023-01-19,135.27000427246094,0.00044373608175840573,139.37319931030274,149.77209987640381,1.89,38932000000.0,71.57143083198991,57.12253320086471,0.29,1.24,1.89,Buy,POSITIVE,0.748120903968811
2023-01-18,135.2100067138672,-0.005369984658148752,139.44539932250976,149.97374988555907,1.89,38932000000.0,71.53968609199322,57.0981186898648,0.28,1.23,1.86,Sell,POSITIVE,0.999363362789154
2023-01-17,135.94000244140625,0.008756366745847899,139.64179916381835,150.17129985809325,1.89,38932000000.0,71.92592721767527,57.39517225567018,0.31,1.25,1.91,Buy,POSITIVE,0.748120903968811
2023-01-13,134.75999450683594,0.010119112567793076,139.93599899291993,150.36194988250733,1.89,38932000000.0,71.3015843951513,56.914997438997716,0.33,1.26,1.88,Buy,NEGATIVE,0.9925836324691772
2023-01-12,133.41000366210938,-0.0005993095195339082,140.30759902954102,150.53919994354249,1.89,38932000000.0,70.5873035249256,56.36565231394809,0.39,1.27,1.9,Sell,POSITIVE,0.9948869347572328
2023-01-11,133.49000549316406,0.02111229140844828,140.7541990661621,150.71624996185304,1.89,38932000000.0,70.62963253606564,56.398207065009274,0.38,1.29,1.96,Buy,POSITIVE,0.748120903968811
2023-01-10,130.72999572753906,0.004456410743407302,140.98039901733398,150.87569995880128,1.89,38932000000.0,69.16930990875083,55.27508988554236,0.38,1.27,1.93,Buy,POSITIVE,0.9995152950286864
2023-01-09,130.14999389648438,0.004088865910060413,141.35279922485353,151.04194995880127,1.89,38932000000.0,68.86243063306053,55.03907259723675,0.39,1.26,1.9,Buy,POSITIVE,0.9810457229614258
2023-01-06,129.6199951171875,0.036794101724815675,141.79659927368164,151.1942999649048,1.89,38932000000.0,68.58200799851191,54.823402804492375,0.4,1.37,2.01,Buy,POSITIVE,0.748120903968811
