,GLD,GLD % Change,VNQ,VNQ % Change,USO,USO % Change,KO,KO % Change,TSLA,TSLA % Change,AAPL,AAPL % Change,AGG,AGG % Change,JNK,JNK % Change,50 MA,200 MA,Min Vol % Change By Weights,1 YR,5 YR,30 YR,Signal
1794,128.41,-0.0081872248397312,88.7,-0.0109277430865298,11.78,0.0536672629695884,45.12,-0.0068236847897865,216.5,0.0117768015702401,95.89,0.0094746815454258,112.65,-0.0026560424966799,102.12852349676226,0.0,-0.0034886267485441,1.157395701589793,1.124322069793871,0.51,1.13,2.43,0.0
1795,126.47,-0.0151078576434856,88.67,-0.0003382187147689,11.57,-0.0178268251273343,45.33,0.0046542553191488,212.28,-0.0194919168591224,95.6,-0.0030242986755658,112.615,-0.0003106968486463,102.12852349676226,0.0,-0.0034884424168312,1.1577235245317927,1.1243649514158842,0.53,1.1,2.39,0.0
1796,125.84,-0.0049814185182256,87.76,-0.0102627720762377,11.79,0.0190146931719965,44.44,-0.0196337966026913,210.19,-0.0098454870925193,94.4,-0.0125523012552299,112.39,-0.0019979576432979,102.12852349676226,0.0,-0.0063594111990777,1.1580281244807382,1.1243939360305737,0.52,1.1,2.43,0.0
1797,125.32,-0.0041322314049587,86.71,-0.011964448495898,11.47,-0.027141645462256,44.18,-0.0058505850585057,201.79,-0.0399638422379752,93.59,-0.0085805084745762,112.47,0.0007118071002758,102.12852349676226,0.0,-0.0037607789822,1.1580067103209368,1.1244028610234391,0.55,1.15,2.43,0.0
1798,126.68,0.0108522183210981,84.92,-0.0206435243916502,11.19,-0.024411508282476,43.78,-0.0090538705296513,198.55,-0.0160562961494622,92.04,-0.016561598461374,112.33,-0.0012447763848136,102.12852349676226,0.0,-0.0007242791475741,1.157884522811897,1.1244169973162392,0.55,1.14,2.43,0.0
1799,126.0,-0.0053678560151563,84.86,-0.0007065473386717,11.4,0.0187667560321715,43.93,0.0034262220191867,193.15,-0.0271971795517501,93.4,0.0147761842677096,111.88,-0.0040060535920947,102.12852349676226,0.0,-0.0026877648395255,1.1576677295989015,1.124426827818347,0.57,1.17,2.44,0.0
1800,120.11,-0.0467460317460317,85.62,0.0089559274098516,11.98,0.050877192982456,45.08,0.0261780104712041,196.4,0.0168263008024851,96.1,0.0289079229122053,111.28,-0.0053628888094385,102.12852349676226,0.0,-0.0059362611440591,1.1574572286672054,1.1244221628712845,0.59,1.22,2.48,0.0
1801,120.9,0.0065773041378736,85.19,-0.0050221910768513,11.74,-0.020033388981636,44.86,-0.004880212954747,196.66,0.0013238289205701,95.55,-0.005723204994797,111.47,0.0017074047447878,102.12852349676226,0.0,0.0009915372123216,1.1573359131767154,1.124435089823972,0.6,1.23,2.51,1.0
1802,120.84,-0.0004962779156327,85.32,0.0015260007043078,11.89,0.0127768313458263,45.13,0.0060187249219796,219.61,0.1166988711481746,95.91,0.0037676609105179,111.4,-0.0006279716515653,102.12852349676226,0.0,0.0058093004119582,1.157300976629951,1.1244816544701082,0.59,1.23,2.54,1.0
1803,123.21,0.0196127110228401,85.76,0.0051570557899673,11.91,0.001682085786375,44.98,-0.0033237314424995,219.7,0.0004098174035789,95.1,-0.0084454175789803,111.48,0.000718132854578,102.12852349676226,0.0,0.0039850488234396,1.157368683146416,1.1245514664111744,0.6,1.25,2.55,1.0
